id,age,job,marital,education,default,balance,housing,loan,date,duration,campaign,pdays,previous,poutcome,deposit
51,41,blue-collar,single,primary,no,1618,1,0,14-May-21,1553,1,-1,0,unknown,1
52,39,management,divorced,tertiary,no,517,1,1,14-May-21,1328,1,-1,0,unknown,1
53,59,retired,married,secondary,no,1521,1,1,14-May-21,1125,2,-1,0,unknown,1
54,41,blue-collar,married,secondary,no,2823,1,0,14-May-21,858,1,-1,0,unknown,1
55,48,blue-collar,married,secondary,no,1405,1,0,14-May-21,629,2,-1,0,unknown,1
56,40,admin.,married,secondary,no,1535,1,0,14-May-21,704,1,-1,0,unknown,1
57,48,blue-collar,married,secondary,no,1596,1,0,14-May-21,760,1,-1,0,unknown,1
58,60,retired,married,primary,no,1542,1,0,14-May-21,930,1,-1,0,unknown,1
59,40,technician,single,unknown,no,3652,1,0,14-May-21,1028,2,-1,0,unknown,1
60,57,technician,married,tertiary,no,-1,0,0,14-May-21,850,2,-1,0,unknown,1
61,51,blue-collar,married,secondary,no,7180,1,0,14-May-21,927,1,-1,0,unknown,1
62,41,blue-collar,divorced,secondary,no,5291,1,0,14-May-21,1423,3,-1,0,unknown,1
63,41,blue-collar,married,secondary,no,1384,1,0,15-May-21,1162,4,-1,0,unknown,1
64,52,blue-collar,divorced,primary,no,-191,1,0,15-May-21,755,1,-1,0,unknown,1
65,59,blue-collar,married,primary,no,320,1,0,15-May-21,695,1,-1,0,unknown,1
66,44,blue-collar,married,unknown,no,146,1,0,15-May-21,483,1,-1,0,unknown,1
67,49,unknown,married,primary,no,341,1,1,15-May-21,520,2,-1,0,unknown,1
68,40,services,married,primary,no,-9,1,0,15-May-21,920,2,-1,0,unknown,1
69,41,admin.,married,primary,no,-306,1,0,15-May-21,500,1,-1,0,unknown,1
70,44,technician,married,tertiary,no,4580,1,0,15-May-21,911,2,-1,0,unknown,1
71,60,services,single,primary,no,313,1,0,15-May-21,920,2,-1,0,unknown,1
72,29,management,married,tertiary,no,10576,0,0,15-May-21,1224,2,-1,0,unknown,1
73,41,retired,divorced,primary,no,-233,1,0,15-May-21,1156,2,-1,0,unknown,1
74,41,blue-collar,married,primary,no,2453,1,0,15-May-21,1052,1,-1,0,unknown,1
75,42,technician,single,secondary,no,1364,1,0,15-May-21,1867,6,-1,0,unknown,1
76,36,services,single,unknown,no,281,1,0,16-May-21,515,1,-1,0,unknown,1
77,39,technician,married,tertiary,no,94,1,1,16-May-21,813,1,-1,0,unknown,1
78,31,self-employed,single,tertiary,no,144,1,0,16-May-21,676,1,-1,0,unknown,1
79,26,blue-collar,married,secondary,no,246,1,0,16-May-21,1143,3,-1,0,unknown,1
80,31,blue-collar,married,secondary,no,92,1,0,16-May-21,688,1,-1,0,unknown,1
81,29,admin.,single,secondary,no,163,1,1,16-May-21,803,1,-1,0,unknown,1
82,37,services,divorced,secondary,no,49,1,0,16-May-21,619,2,-1,0,unknown,1
83,33,blue-collar,single,secondary,no,-416,1,0,16-May-21,767,2,-1,0,unknown,1
84,24,technician,single,secondary,no,409,1,0,16-May-21,912,1,-1,0,unknown,1
85,50,admin.,divorced,secondary,no,363,1,0,16-May-21,1340,1,-1,0,unknown,1
86,27,technician,single,tertiary,no,3706,1,0,16-May-21,897,1,-1,0,unknown,1
87,54,management,single,tertiary,no,4393,1,0,16-May-21,1297,3,-1,0,unknown,1
88,30,technician,single,secondary,no,863,1,0,16-May-21,1193,5,-1,0,unknown,1
89,34,blue-collar,married,primary,no,695,1,1,16-May-21,1064,4,-1,0,unknown,1
90,37,management,single,secondary,no,792,1,0,16-May-21,1187,4,-1,0,unknown,1
91,41,admin.,single,secondary,no,1020,1,0,19-May-21,882,1,-1,0,unknown,1
92,47,blue-collar,married,secondary,no,863,1,0,19-May-21,943,2,-1,0,unknown,1
93,31,admin.,married,secondary,no,97,1,0,19-May-21,607,1,-1,0,unknown,1
94,31,blue-collar,married,secondary,no,754,1,0,19-May-21,1022,4,-1,0,unknown,1
95,43,services,divorced,secondary,no,1040,1,0,19-May-21,552,3,-1,0,unknown,1
96,37,management,divorced,tertiary,no,122,1,0,19-May-21,1622,2,-1,0,unknown,1
97,30,technician,single,tertiary,no,880,1,1,19-May-21,967,6,-1,0,unknown,1
98,41,technician,married,secondary,no,501,1,0,19-May-21,579,5,-1,0,unknown,1
99,36,blue-collar,married,secondary,no,4438,1,0,20-May-21,446,1,-1,0,unknown,1
100,35,blue-collar,divorced,secondary,no,0,1,0,20-May-21,1205,1,-1,0,unknown,1
101,29,services,single,secondary,no,271,1,0,20-May-21,1882,2,-1,0,unknown,1
102,35,blue-collar,married,primary,no,102,1,0,20-May-21,1334,1,-1,0,unknown,1
103,31,blue-collar,married,secondary,no,2,1,0,20-May-21,182,2,-1,0,unknown,1
104,35,services,married,secondary,no,4170,1,0,20-May-21,1777,1,-1,0,unknown,1
105,34,technician,single,secondary,no,85,1,0,20-May-21,1182,4,-1,0,unknown,1
106,31,admin.,single,secondary,no,431,1,1,20-May-21,1045,1,-1,0,unknown,1
107,44,technician,divorced,secondary,no,982,1,0,20-May-21,650,3,-1,0,unknown,1
108,36,blue-collar,married,primary,no,408,1,1,20-May-21,1063,2,-1,0,unknown,1
109,35,blue-collar,married,unknown,no,4822,1,0,20-May-21,843,2,-1,0,unknown,1
110,41,blue-collar,married,primary,no,1250,1,0,20-May-21,1392,2,-1,0,unknown,1
111,31,blue-collar,single,primary,no,216,1,0,21-May-21,565,1,-1,0,unknown,1
112,34,blue-collar,married,secondary,no,1207,1,0,21-May-21,905,1,-1,0,unknown,1
113,32,technician,married,secondary,no,791,1,0,21-May-21,783,2,-1,0,unknown,1
114,36,management,married,tertiary,no,849,1,1,21-May-21,958,2,-1,0,unknown,1
115,30,blue-collar,single,secondary,yes,239,1,0,21-May-21,412,1,-1,0,unknown,1
116,37,technician,single,secondary,no,1211,1,0,21-May-21,795,1,-1,0,unknown,1
117,36,blue-collar,married,primary,no,599,1,0,21-May-21,649,2,-1,0,unknown,1
118,31,management,single,tertiary,no,825,1,0,21-May-21,506,2,-1,0,unknown,1
119,27,technician,married,secondary,no,2183,1,1,21-May-21,857,1,-1,0,unknown,1
120,34,retired,married,primary,no,4499,0,0,21-May-21,1681,1,-1,0,unknown,1
121,30,technician,single,tertiary,no,1289,1,0,21-May-21,1697,2,-1,0,unknown,1
122,32,technician,single,tertiary,no,4665,1,0,21-May-21,860,2,-1,0,unknown,1
123,37,technician,single,secondary,no,3326,1,0,21-May-21,799,1,-1,0,unknown,1
124,32,blue-collar,married,secondary,no,783,1,0,21-May-21,923,3,-1,0,unknown,1
125,33,blue-collar,married,secondary,no,0,1,0,21-May-21,521,3,-1,0,unknown,1
126,35,blue-collar,married,primary,no,994,1,0,23-May-21,1349,8,-1,0,unknown,1
127,35,self-employed,divorced,tertiary,no,1354,1,0,23-May-21,736,2,-1,0,unknown,1
128,30,blue-collar,single,secondary,no,239,1,0,23-May-21,785,1,-1,0,unknown,1
129,45,blue-collar,divorced,primary,no,-311,1,0,23-May-21,1030,1,-1,0,unknown,1
130,45,admin.,married,secondary,no,149,1,0,23-May-21,893,3,-1,0,unknown,1
131,33,blue-collar,married,secondary,no,1464,1,0,23-May-21,588,3,-1,0,unknown,1
132,44,management,divorced,tertiary,no,5773,0,0,23-May-21,597,6,-1,0,unknown,1
133,40,blue-collar,married,primary,no,278,1,0,23-May-21,1015,3,-1,0,unknown,1
134,31,blue-collar,married,secondary,no,2910,1,0,23-May-21,1392,2,-1,0,unknown,1
135,30,technician,married,tertiary,no,541,1,0,26-May-21,414,2,-1,0,unknown,1
136,44,technician,divorced,secondary,no,1262,1,0,26-May-21,788,11,-1,0,unknown,1
137,34,services,married,secondary,no,-538,1,0,26-May-21,682,1,-1,0,unknown,1
138,37,blue-collar,married,secondary,no,125,0,0,26-May-21,679,2,-1,0,unknown,1
139,28,self-employed,single,tertiary,no,0,1,0,26-May-21,1560,2,-1,0,unknown,1
140,32,admin.,single,secondary,no,620,1,0,26-May-21,1234,3,-1,0,unknown,1
141,37,blue-collar,divorced,secondary,no,316,1,0,26-May-21,642,2,-1,0,unknown,1
142,34,management,married,tertiary,no,2287,1,0,26-May-21,895,4,-1,0,unknown,1
143,38,admin.,divorced,secondary,no,198,1,0,26-May-21,431,2,-1,0,unknown,1
144,28,admin.,single,secondary,no,460,1,0,26-May-21,741,6,-1,0,unknown,1
145,31,management,divorced,tertiary,no,1145,1,0,26-May-21,1272,4,-1,0,unknown,1
146,59,services,married,secondary,no,-22,1,0,26-May-21,748,3,-1,0,unknown,1
147,24,blue-collar,married,secondary,no,685,1,0,26-May-21,896,3,-1,0,unknown,1
148,26,services,single,secondary,no,901,1,0,26-May-21,764,2,-1,0,unknown,1
149,59,retired,single,secondary,no,351,1,0,27-May-21,1063,5,-1,0,unknown,1
150,30,entrepreneur,single,primary,no,0,1,1,27-May-21,1051,1,-1,0,unknown,1
151,37,admin.,married,secondary,no,274,1,0,27-May-21,731,3,-1,0,unknown,1
152,30,admin.,single,secondary,no,-213,1,1,27-May-21,751,1,-1,0,unknown,1
153,25,blue-collar,married,secondary,no,97,1,0,27-May-21,709,1,-1,0,unknown,1
154,44,services,divorced,secondary,no,51,1,1,27-May-21,3094,2,-1,0,unknown,1
155,29,management,married,tertiary,no,314,0,0,28-May-21,938,2,-1,0,unknown,1
156,26,management,single,tertiary,no,6840,1,0,28-May-21,1560,2,-1,0,unknown,1
157,26,technician,single,secondary,no,668,1,0,28-May-21,576,3,-1,0,unknown,1
158,27,services,single,secondary,no,54,1,0,28-May-21,543,2,-1,0,unknown,1
159,25,self-employed,single,secondary,no,1242,1,0,28-May-21,615,2,-1,0,unknown,1
160,28,management,married,secondary,no,292,1,0,28-May-21,507,1,-1,0,unknown,1
161,23,services,single,secondary,no,665,1,0,28-May-21,1183,1,-1,0,unknown,1
162,34,management,single,tertiary,no,1058,1,0,28-May-21,864,2,-1,0,unknown,1
163,28,student,single,secondary,no,949,1,0,28-May-21,1730,1,-1,0,unknown,1
164,51,entrepreneur,married,unknown,no,606,1,0,28-May-21,560,9,-1,0,unknown,1
165,35,blue-collar,married,secondary,no,0,1,1,29-May-21,543,1,-1,0,unknown,1
166,35,admin.,married,secondary,no,404,1,0,29-May-21,539,1,-1,0,unknown,1
167,56,blue-collar,married,secondary,no,249,1,0,29-May-21,791,2,-1,0,unknown,1
168,45,unemployed,divorced,secondary,no,3354,1,0,29-May-21,746,1,-1,0,unknown,1
169,60,blue-collar,divorced,secondary,no,0,1,0,29-May-21,1207,1,-1,0,unknown,1
170,56,technician,married,secondary,no,589,1,0,29-May-21,535,2,-1,0,unknown,1
171,27,management,single,tertiary,no,12956,1,0,29-May-21,789,3,-1,0,unknown,1
172,30,admin.,married,secondary,no,873,1,0,29-May-21,792,3,-1,0,unknown,1
173,45,blue-collar,divorced,primary,no,594,1,0,29-May-21,833,2,-1,0,unknown,1
174,29,blue-collar,single,secondary,no,-20,1,0,29-May-21,814,2,-1,0,unknown,1
175,38,management,divorced,tertiary,no,4692,1,0,29-May-21,1363,2,-1,0,unknown,1
176,30,blue-collar,married,secondary,no,486,1,0,29-May-21,1109,3,-1,0,unknown,1
177,44,blue-collar,single,primary,no,1593,1,0,29-May-21,828,3,-1,0,unknown,1
178,36,management,single,tertiary,no,7606,1,0,30-May-21,917,1,-1,0,unknown,1
179,38,technician,married,secondary,no,226,1,0,30-May-21,762,3,-1,0,unknown,1
180,36,blue-collar,single,secondary,no,366,1,1,30-May-21,1133,2,-1,0,unknown,1
181,37,management,divorced,secondary,no,16,1,0,30-May-21,638,1,-1,0,unknown,1
182,35,management,single,tertiary,no,565,1,0,30-May-21,763,1,-1,0,unknown,1
183,38,admin.,divorced,secondary,no,19,1,0,30-May-21,604,2,-1,0,unknown,1
184,40,services,married,primary,no,1082,1,0,30-May-21,854,2,-1,0,unknown,1
185,42,unemployed,divorced,secondary,no,1713,1,0,30-May-21,855,2,-1,0,unknown,1
186,46,management,divorced,tertiary,no,14481,1,0,30-May-21,1269,1,-1,0,unknown,1
187,35,technician,divorced,secondary,no,5724,1,0,30-May-21,691,10,-1,0,unknown,1
188,34,technician,divorced,secondary,no,1451,1,0,30-May-21,1097,15,-1,0,unknown,1
189,32,services,married,secondary,no,-34,1,0,30-May-21,1236,2,-1,0,unknown,1
190,50,unemployed,married,secondary,no,3674,1,0,30-May-21,886,3,-1,0,unknown,1
191,35,blue-collar,married,secondary,no,698,1,1,30-May-21,1343,3,-1,0,unknown,1
192,36,technician,single,secondary,no,4136,1,0,30-May-21,812,3,-1,0,unknown,1
193,53,blue-collar,divorced,primary,no,2656,1,0,30-May-21,1980,2,-1,0,unknown,1
194,46,management,single,tertiary,no,2904,1,0,30-May-21,984,2,-1,0,unknown,1
195,26,management,single,tertiary,no,1004,1,0,30-May-21,228,2,-1,0,unknown,1
196,45,technician,single,secondary,no,410,1,0,30-May-21,891,4,-1,0,unknown,1
197,31,unemployed,divorced,primary,no,0,1,0,30-May-21,745,12,-1,0,unknown,1
198,29,management,single,tertiary,no,0,1,0,30-May-21,539,12,-1,0,unknown,1
199,53,entrepreneur,single,secondary,no,62,1,0,30-May-21,1044,5,-1,0,unknown,1
200,27,blue-collar,married,primary,no,416,1,0,30-May-21,1193,2,-1,0,unknown,1
201,39,management,married,tertiary,no,2763,1,0,2-Jun-21,526,2,-1,0,unknown,1
202,36,services,married,secondary,no,2984,1,0,2-Jun-21,394,1,-1,0,unknown,1
203,41,blue-collar,married,primary,no,143,1,1,2-Jun-21,659,2,-1,0,unknown,1
204,36,services,married,primary,no,0,1,0,2-Jun-21,1036,1,-1,0,unknown,1
205,32,technician,married,secondary,no,696,1,0,2-Jun-21,815,1,-1,0,unknown,1
206,35,services,married,secondary,no,152,1,0,2-Jun-21,563,1,-1,0,unknown,1
207,36,management,single,tertiary,no,-78,1,0,2-Jun-21,1068,1,-1,0,unknown,1
208,35,management,married,tertiary,no,867,1,0,2-Jun-21,230,3,-1,0,unknown,1
209,30,blue-collar,single,secondary,no,953,1,0,2-Jun-21,747,2,-1,0,unknown,1
210,42,blue-collar,married,secondary,no,443,1,0,2-Jun-21,671,5,-1,0,unknown,1
211,42,technician,single,secondary,yes,-1129,1,0,2-Jun-21,555,5,-1,0,unknown,1
212,32,blue-collar,married,primary,no,415,1,0,2-Jun-21,777,4,-1,0,unknown,1
213,29,blue-collar,single,secondary,no,260,1,0,2-Jun-21,707,14,-1,0,unknown,1
214,44,management,divorced,tertiary,yes,-411,1,0,2-Jun-21,432,4,-1,0,unknown,1
215,32,technician,single,secondary,no,1279,1,0,3-Jun-21,1173,3,-1,0,unknown,1
216,31,unemployed,married,secondary,no,86,1,1,3-Jun-21,963,2,-1,0,unknown,1
217,40,self-employed,married,secondary,yes,-754,1,1,3-Jun-21,941,3,-1,0,unknown,1
218,43,entrepreneur,married,secondary,no,0,0,0,3-Jun-21,1025,7,-1,0,unknown,1
219,27,management,single,secondary,no,178,1,0,3-Jun-21,732,2,-1,0,unknown,1
220,37,services,single,secondary,no,278,1,0,3-Jun-21,1045,3,-1,0,unknown,1
221,23,services,single,secondary,no,425,1,0,3-Jun-21,768,1,-1,0,unknown,1
222,25,management,married,primary,no,168,1,0,3-Jun-21,801,1,-1,0,unknown,1
223,26,blue-collar,single,secondary,yes,-36,1,0,3-Jun-21,482,2,-1,0,unknown,1
224,47,blue-collar,divorced,primary,no,126,1,0,3-Jun-21,2456,2,-1,0,unknown,1
225,35,admin.,married,secondary,no,-87,1,0,3-Jun-21,1363,7,-1,0,unknown,1
226,32,technician,single,tertiary,no,6281,1,0,3-Jun-21,1336,4,-1,0,unknown,1
227,45,management,divorced,secondary,no,644,1,0,4-Jun-21,633,1,-1,0,unknown,1
228,30,admin.,divorced,secondary,no,377,1,0,4-Jun-21,524,15,-1,0,unknown,1
229,29,services,single,secondary,no,-271,1,0,4-Jun-21,578,1,-1,0,unknown,1
230,38,blue-collar,married,primary,no,5839,1,0,4-Jun-21,984,2,-1,0,unknown,1
231,23,blue-collar,single,secondary,no,492,1,0,4-Jun-21,638,1,-1,0,unknown,1
232,27,management,single,tertiary,no,99,1,0,4-Jun-21,767,2,-1,0,unknown,1
233,27,management,single,tertiary,yes,-713,1,0,4-Jun-21,525,2,-1,0,unknown,1
234,29,services,single,secondary,no,32,1,0,4-Jun-21,563,1,-1,0,unknown,1
235,30,self-employed,married,tertiary,no,543,1,1,4-Jun-21,1449,6,-1,0,unknown,1
236,36,blue-collar,married,primary,no,403,1,0,4-Jun-21,920,1,-1,0,unknown,1
237,35,admin.,divorced,secondary,no,437,1,0,4-Jun-21,908,1,-1,0,unknown,1
238,36,blue-collar,married,secondary,no,1772,0,0,5-Jun-21,208,1,-1,0,unknown,1
239,59,retired,divorced,primary,no,-88,1,0,5-Jun-21,910,2,-1,0,unknown,1
240,47,entrepreneur,married,secondary,no,0,0,0,5-Jun-21,1446,1,-1,0,unknown,1
241,58,entrepreneur,married,tertiary,no,853,0,0,5-Jun-21,1149,2,-1,0,unknown,1
242,37,management,single,tertiary,no,240,0,0,5-Jun-21,1123,1,-1,0,unknown,1
243,46,admin.,single,secondary,no,849,1,0,5-Jun-21,508,2,-1,0,unknown,1
244,43,blue-collar,single,secondary,no,318,1,0,5-Jun-21,736,2,-1,0,unknown,1
245,27,management,single,tertiary,no,703,1,0,5-Jun-21,590,3,-1,0,unknown,1
246,38,services,divorced,secondary,no,61,0,0,5-Jun-21,636,1,-1,0,unknown,1
247,53,housemaid,married,primary,no,104,0,1,5-Jun-21,701,1,-1,0,unknown,1
248,47,blue-collar,married,secondary,no,1996,0,0,5-Jun-21,761,2,-1,0,unknown,1
249,56,housemaid,divorced,primary,yes,1238,0,0,5-Jun-21,1558,1,-1,0,unknown,1
250,41,housemaid,married,secondary,no,879,0,0,5-Jun-21,1053,2,-1,0,unknown,1
251,29,self-employed,married,secondary,no,425,1,0,5-Jun-21,562,15,-1,0,unknown,1
252,50,technician,married,secondary,no,416,1,0,5-Jun-21,494,5,-1,0,unknown,1
253,45,blue-collar,divorced,primary,no,844,0,0,5-Jun-21,1018,3,-1,0,unknown,1
254,35,blue-collar,married,secondary,no,860,1,0,5-Jun-21,884,4,-1,0,unknown,1
255,26,technician,single,secondary,no,639,1,0,6-Jun-21,709,5,-1,0,unknown,1
256,26,admin.,married,secondary,no,710,1,1,6-Jun-21,1276,2,-1,0,unknown,1
257,37,blue-collar,married,unknown,no,1508,0,1,6-Jun-21,381,2,-1,0,unknown,1
258,30,admin.,single,secondary,no,223,1,0,6-Jun-21,862,11,-1,0,unknown,1
259,38,management,single,tertiary,no,619,1,0,6-Jun-21,460,4,-1,0,unknown,1
260,37,services,divorced,secondary,no,319,1,0,6-Jun-21,467,3,-1,0,unknown,1
261,53,technician,married,secondary,no,480,0,0,6-Jun-21,648,2,-1,0,unknown,1
262,29,blue-collar,single,primary,no,213,1,0,6-Jun-21,2653,3,-1,0,unknown,1
263,35,management,single,tertiary,no,68,0,0,6-Jun-21,1085,1,-1,0,unknown,1
264,28,blue-collar,married,secondary,no,2788,1,0,6-Jun-21,369,2,-1,0,unknown,1
265,55,blue-collar,married,unknown,no,7561,0,0,6-Jun-21,685,3,-1,0,unknown,1
266,49,management,divorced,secondary,no,-46,1,0,9-Jun-21,1055,10,-1,0,unknown,1
267,50,services,married,secondary,no,1595,0,0,9-Jun-21,882,1,-1,0,unknown,1
268,43,management,single,tertiary,no,1046,0,0,9-Jun-21,901,1,-1,0,unknown,1
269,58,self-employed,divorced,tertiary,no,1382,0,0,9-Jun-21,700,1,-1,0,unknown,1
270,38,technician,married,primary,no,217,1,0,9-Jun-21,491,6,-1,0,unknown,1
271,48,blue-collar,divorced,primary,no,183,0,0,9-Jun-21,940,1,-1,0,unknown,1
272,59,management,married,secondary,no,1321,0,0,9-Jun-21,3881,3,-1,0,unknown,1
273,58,blue-collar,married,secondary,no,25,0,0,9-Jun-21,486,3,-1,0,unknown,1
274,36,self-employed,single,tertiary,no,4844,0,0,9-Jun-21,1137,3,-1,0,unknown,1
275,42,entrepreneur,married,tertiary,no,5345,0,0,11-Jun-21,878,3,-1,0,unknown,1
276,41,admin.,single,secondary,no,812,0,1,11-Jun-21,583,4,-1,0,unknown,1
277,42,admin.,married,secondary,no,105,0,0,11-Jun-21,1159,4,-1,0,unknown,1
278,39,management,married,tertiary,no,-190,0,1,11-Jun-21,893,8,-1,0,unknown,1
279,57,housemaid,married,primary,no,625,0,1,11-Jun-21,867,1,-1,0,unknown,1
280,52,retired,married,unknown,no,293,0,0,11-Jun-21,706,1,-1,0,unknown,1
281,59,retired,married,unknown,no,1033,0,0,11-Jun-21,1199,1,-1,0,unknown,1
282,56,blue-collar,married,secondary,no,1210,0,0,11-Jun-21,935,1,-1,0,unknown,1
283,49,management,married,tertiary,no,64,0,0,11-Jun-21,586,1,-1,0,unknown,1
284,35,blue-collar,divorced,unknown,no,164,0,0,11-Jun-21,967,2,-1,0,unknown,1
285,36,unemployed,married,secondary,no,1766,0,0,11-Jun-21,595,2,-1,0,unknown,1
286,40,admin.,single,tertiary,no,1248,0,0,11-Jun-21,1290,2,-1,0,unknown,1
287,55,blue-collar,married,secondary,no,0,0,0,12-Jun-21,614,2,-1,0,unknown,1
288,58,admin.,married,secondary,no,826,0,0,12-Jun-21,885,1,-1,0,unknown,1
289,39,self-employed,married,tertiary,no,2630,0,0,12-Jun-21,651,5,-1,0,unknown,1
290,47,housemaid,single,tertiary,no,3727,0,0,12-Jun-21,993,6,-1,0,unknown,1
291,40,management,married,secondary,no,406,1,0,12-Jun-21,577,2,-1,0,unknown,1
292,35,blue-collar,married,tertiary,no,2999,0,0,12-Jun-21,1141,6,-1,0,unknown,1
293,48,blue-collar,married,secondary,no,1000,1,0,12-Jun-21,1268,2,-1,0,unknown,1
294,48,management,divorced,tertiary,no,503,0,1,12-Jun-21,1243,7,-1,0,unknown,1
295,24,blue-collar,single,secondary,yes,-203,1,0,12-Jun-21,465,3,-1,0,unknown,1
296,49,blue-collar,married,primary,no,361,1,0,16-Jun-21,513,2,-1,0,unknown,1
297,36,blue-collar,married,secondary,no,274,1,0,16-Jun-21,686,11,-1,0,unknown,1
298,52,retired,divorced,tertiary,no,3687,1,1,16-Jun-21,741,4,-1,0,unknown,1
299,42,entrepreneur,single,unknown,no,323,0,0,16-Jun-21,617,1,-1,0,unknown,1
300,36,services,married,secondary,no,981,0,0,16-Jun-21,1093,1,-1,0,unknown,1
301,36,blue-collar,divorced,secondary,no,638,1,0,16-Jun-21,1395,2,-1,0,unknown,1
302,48,unemployed,single,tertiary,no,3229,0,0,16-Jun-21,1089,1,-1,0,unknown,1
303,51,management,single,secondary,no,1610,1,0,16-Jun-21,1248,3,-1,0,unknown,1
304,51,blue-collar,married,secondary,no,33,0,1,16-Jun-21,721,3,-1,0,unknown,1
305,46,technician,married,secondary,no,536,1,0,16-Jun-21,750,2,-1,0,unknown,1
306,37,management,married,tertiary,no,0,0,0,16-Jun-21,637,6,-1,0,unknown,1
307,36,entrepreneur,married,tertiary,no,3057,0,0,16-Jun-21,2769,4,-1,0,unknown,1
308,47,management,married,secondary,no,2892,0,0,17-Jun-21,556,1,-1,0,unknown,1
